Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,118,118,382
2,1000,998,615,615,385
3,1500,1499,1118,1118,382
4,2000,2000,1611,1611,389
5,2500,2499,2113,2113,387
6,3000,2998,2614,2614,386
7,3500,3497,3109,3109,391
8,4000,3999,3608,3608,392
9,4500,4498,4110,4110,390
10,5000,4998,4611,4611,389
11,5500,5498,5271,5110,390
12,6000,5998,5606,5606,394
13,6500,6500,6106,6106,394
14,7000,6998,6614,6614,386
15,7499,7497,7105,7105,394
16,7999,7996,7609,7609,390
17,8499,8497,8108,8108,391
18,8998,8994,8768,8607,391
19,9498,9495,9101,9101,397
20,9998,9995,9597,9597,401
21,10498,10498,10271,10103,395
22,10998,10998,10756,10645,353
23,11498,11498,11255,11090,408
24,11998,11998,11741,11741,257
25,12498,12498,12234,12234,264
26,12998,12998,12735,12735,263
27,13498,13498,13228,13228,270
28,13998,13998,13723,13723,275
29,14498,14498,14203,14203,295
30,14998,14998,14698,14698,300
31,14998,14998,14998,14998,0
