Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,221,221,279
2,1000,1000,718,718,282
3,1500,1500,1212,1212,288
4,2000,2000,1708,1708,292
5,2499,2499,2201,2201,298
6,2998,2998,2695,2695,303
7,3498,3498,3193,3193,305
8,3998,3998,3684,3684,314
9,4498,4498,4186,4186,312
10,4998,4998,4685,4685,313
11,5498,5498,5186,5186,312
12,5997,5997,5687,5687,310
13,6497,6497,6179,6179,318
14,6997,6997,6678,6678,319
15,7497,7497,7192,7192,305
16,7996,7996,7685,7685,311
17,8496,8496,8186,8186,310
18,8996,8996,8684,8684,312
19,9496,9496,9182,9182,314
20,9996,9996,9678,9678,318
21,10496,10496,10177,10177,319
22,10996,10996,10664,10664,332
23,11496,11496,11156,11156,340
24,11996,11996,11654,11654,342
25,12496,12495,12159,12159,337
26,12995,12994,12647,12647,348
27,13495,13495,13153,13153,342
28,13995,13995,13664,13663,332
29,14495,14495,14158,14157,338
30,14995,14993,14643,14643,352
31,14995,14995,14995,14995,0
