Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,163,163,337
2,1000,1000,661,661,339
3,1500,1500,1170,1170,330
4,2000,2000,1672,1672,328
5,2500,2500,2175,2175,325
6,3000,3000,2675,2675,325
7,3500,3500,3185,3185,315
8,4000,4000,3682,3682,318
9,4500,4500,4184,4184,316
10,4999,4999,4686,4686,313
11,5499,5499,5184,5184,315
12,5998,5998,5683,5683,315
13,6498,6498,6184,6184,314
14,6998,6998,6690,6690,308
15,7496,7496,7193,7193,303
16,7996,7996,7687,7687,309
17,8496,8496,8194,8194,302
18,8996,8996,8701,8701,295
19,9496,9496,9204,9204,292
20,9996,9996,9706,9706,290
21,10496,10496,10195,10195,301
22,10996,10996,10695,10695,301
23,11495,11495,11191,11191,304
24,11994,11994,11684,11684,310
25,12493,12493,12192,12192,301
26,12993,12993,12689,12687,306
27,13493,13493,13192,13190,303
28,13992,13992,13682,13682,310
29,14492,14492,14164,14164,328
30,14991,14991,14657,14657,334
31,14991,14991,14991,14991,0
