Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,227,227,273
2,1000,1000,725,725,275
3,1500,1500,1211,1211,289
4,2000,2000,1704,1704,296
5,2500,2500,2194,2194,306
6,3000,3000,2696,2696,304
7,3500,3500,3177,3177,323
8,4000,4000,3682,3682,318
9,4501,4500,4169,4169,332
10,5000,5000,4667,4667,333
11,5501,5500,5165,5165,336
12,6001,5998,5653,5653,348
13,6501,6500,6152,6152,349
14,7001,7000,6651,6651,350
15,7501,7500,7142,7142,359
16,8001,8000,7637,7637,364
17,8501,8500,8124,8124,377
18,9001,9000,8631,8631,370
19,9501,9498,9118,9118,383
20,10001,9998,9774,9606,395
21,10501,10500,10265,10265,236
22,11000,10999,10760,10685,315
23,11500,11499,11253,11253,247
24,12000,11999,11734,11734,266
25,12500,12499,12216,12216,284
26,13000,12999,12702,12702,298
27,13499,13498,13196,13196,303
28,13999,13998,13686,13686,313
29,14499,14498,14175,14175,324
30,14999,14998,14664,14664,335
31,15499,15497,15158,15158,341
32,15999,15998,15651,15651,348
33,16498,16497,16137,16137,361
34,16998,16997,16622,16622,376
35,17498,17497,17125,17125,373
36,17998,17997,17628,17628,370
37,18498,18497,18131,18131,367
38,18998,18997,18631,18631,367
39,19498,19497,19126,19126,372
40,19998,19997,19619,19619,379
41,20498,20495,20116,20116,382
42,20998,20995,20609,20609,389
43,21498,21495,21101,21101,397
44,21997,21995,21608,21608,389
45,22495,22494,22111,22111,384
46,22994,22993,22772,22606,388
47,23494,23493,23258,23092,402
48,23994,23993,23747,23747,247
49,24492,24491,24244,24244,248
50,24992,24991,24728,24728,264
51,25492,25491,25214,25214,278
52,25991,25990,25731,25731,260
53,26491,26490,26221,26221,270
54,26991,26990,26731,26731,260
55,27490,27489,27224,27224,266
56,27990,27989,27717,27717,273
57,28490,28489,28203,28203,287
58,28990,28989,28693,28693,297
59,29490,29489,29179,29179,311
60,29990,29989,29678,29678,312
61,30489,30488,30164,30164,325
62,30988,30985,30649,30649,339
63,31488,31486,31139,31139,349
64,31988,31985,31646,31646,342
65,32488,32487,32142,32142,346
66,32988,32988,32634,32634,354
67,33487,33486,33126,33126,361
68,33987,33984,33764,33609,378
69,34487,34487,34248,34190,297
70,34987,34987,34741,34741,246
71,35487,35486,35231,35231,256
72,35987,35987,35721,35721,266
73,36487,36487,36216,36216,271
74,36987,36987,36705,36705,282
75,37487,37487,37194,37194,293
76,37987,37987,37701,37701,286
77,38487,38487,38200,38200,287
78,38987,38987,38693,38693,294
79,39487,39487,39188,39188,299
80,39987,39986,39683,39683,304
81,40483,40483,40182,40182,301
82,40983,40982,40699,40699,284
83,41483,41483,41188,41188,295
84,41982,41982,41680,41680,302
85,42482,42482,42177,42177,305
86,42982,42982,42679,42679,303
87,43482,43482,43177,43177,305
88,43982,43982,43666,43666,316
89,44481,44481,44165,44165,316
90,44981,44981,44665,44665,316
91,45481,45481,45162,45162,319
92,45981,45981,45662,45662,319
93,46481,46481,46154,46154,327
94,46981,46981,46637,46637,344
95,47481,47481,47115,47115,366
96,47981,47981,47606,47606,375
97,48481,48481,48102,48102,379
98,48980,48980,48600,48600,380
99,49479,49477,49093,49093,386
100,49979,49976,49587,49587,392
101,50477,50477,50246,50246,231
102,50977,50977,50737,50737,240
103,51477,51477,51228,51228,249
104,51977,51977,51723,51723,254
105,52477,52477,52219,52219,258
106,52977,52977,52722,52722,255
107,53477,53477,53210,53210,267
108,53976,53976,53721,53721,255
109,54476,54476,54202,54202,274
110,54976,54976,54688,54688,288
111,55470,55470,55179,55179,291
112,55970,55970,55683,55683,287
113,56470,56470,56176,56176,294
