Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,254,204,296
2,1000,1000,756,756,244
3,1500,1500,1249,1249,251
4,2000,2000,1745,1745,255
5,2500,2500,2237,2237,263
6,2999,2999,2740,2740,259
7,3499,3499,3219,3219,280
8,3998,3998,3710,3710,288
9,4498,4498,4204,4204,294
10,4998,4998,4697,4697,301
11,5496,5496,5185,5185,311
12,5996,5996,5675,5675,321
13,6496,6496,6163,6163,333
14,6995,6995,6655,6655,340
15,7495,7495,7156,7156,339
16,7995,7995,7664,7664,331
17,8495,8495,8159,8159,336
18,8995,8994,8660,8660,335
19,9495,9493,9145,9145,350
20,9995,9995,9639,9639,356
21,10495,10495,10129,10129,366
22,10995,10995,10611,10611,384
23,11494,11493,11106,11106,388
24,11994,11991,11761,11603,391
25,12494,12494,12253,12253,241
26,12994,12994,12739,12739,255
27,13494,13494,13231,13231,263
28,13994,13994,13730,13730,264
29,14493,14493,14218,14218,275
30,14993,14993,14709,14709,284
31,15493,15493,15210,15210,283
32,15993,15993,15710,15710,283
33,16493,16493,16204,16204,289
34,16993,16993,16701,16701,292
35,17493,17493,17208,17208,285
36,17993,17993,17708,17708,285
37,18493,18493,18196,18196,297
38,18993,18993,18687,18687,306
39,19493,19493,19182,19182,311
40,19992,19992,19676,19676,316
41,20491,20491,20162,20162,329
42,20991,20991,20663,20663,328
43,21491,21491,21149,21149,342
44,21991,21990,21651,21651,340
45,22491,22491,22144,22144,347
46,22991,22991,22630,22630,361
47,23491,23491,23129,23129,362
48,23991,23991,23631,23631,360
49,24491,24491,24121,24121,370
50,24991,24991,24612,24612,379
51,25490,25490,25108,25108,382
52,25990,25990,25609,25609,381
53,26490,26488,26106,26106,384
54,26990,26990,26601,26601,389
55,27490,27488,27106,27106,384
56,27990,27988,27601,27601,389
57,28490,28488,28099,28099,391
58,28990,28988,28760,28596,394
59,29490,29490,29251,29089,401
60,29990,29990,29748,29748,242
61,30490,30490,30235,30235,255
62,30990,30990,30739,30739,251
63,31490,31490,31237,31237,253
64,31990,31990,31731,31731,259
65,32490,32490,32226,32226,264
66,32990,32990,32730,32730,260
67,33490,33490,33226,33226,264
68,33990,33990,33715,33715,275
69,34490,34490,34198,34198,292
70,34990,34990,34701,34701,289
71,35490,35490,35190,35190,300
72,35990,35990,35687,35687,303
73,36489,36489,36175,36175,314
74,36989,36989,36654,36654,335
75,37489,37489,37152,37152,337
76,37987,37987,37643,37643,344
77,38486,38481,38131,38131,355
78,38986,38986,38635,38635,351
79,39486,39485,39129,39129,357
80,39986,39986,39635,39635,351
81,40486,40486,40129,40129,357
82,40984,40984,40622,40622,362
83,41484,41484,41113,41113,371
84,41981,41981,41604,41604,377
85,42481,42479,42093,42093,388
86,42980,42973,42745,42587,393
87,43478,43478,43244,43078,400
88,43978,43978,43735,43735,243
89,44478,44478,44228,44228,250
