Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,243,243,257
2,1000,1000,740,740,260
3,1500,1500,1228,1228,272
4,2000,2000,1736,1736,264
5,2500,2500,2228,2228,272
6,3000,3000,2726,2726,274
7,3500,3500,3223,3223,277
8,4000,4000,3713,3713,287
9,4500,4500,4199,4199,301
10,5000,5000,4703,4703,297
11,5500,5500,5205,5205,295
12,5999,5999,5702,5702,297
13,6498,6498,6198,6198,300
14,6998,6998,6693,6693,305
15,7498,7498,7212,7212,286
16,7999,7998,7712,7712,287
17,8496,8496,8215,8215,281
18,8995,8995,8711,8711,284
19,9495,9494,9215,9215,280
20,9995,9994,9721,9721,274
21,10495,10494,10224,10224,271
22,10995,10994,10714,10714,281
23,11495,11494,11210,11210,285
24,11995,11994,11724,11724,271
25,12495,12494,12229,12229,266
26,12994,12993,12721,12721,273
27,13494,13493,13208,13208,286
28,13994,13993,13708,13708,286
29,14494,14493,14213,14213,281
30,14994,14993,14720,14720,274
31,15492,15491,15220,15220,272
32,15992,15991,15715,15715,277
33,16492,16491,16215,16215,277
34,16992,16991,16709,16709,283
35,17492,17491,17201,17201,291
36,17992,17991,17683,17683,309
37,18487,18486,18179,18179,308
38,18987,18986,18686,18686,301
39,19487,19486,19182,19182,305
40,19987,19986,19678,19678,309
41,20486,20485,20172,20172,314
42,20985,20984,20665,20665,320
43,21484,21483,21160,21160,324
44,21982,21981,21649,21649,333
45,22482,22481,22160,22160,322
46,22982,22981,22657,22657,325
47,23482,23481,23162,23162,320
48,23982,23981,23664,23664,318
49,24481,24480,24163,24163,318
50,24981,24980,24656,24656,325
51,25480,25479,25152,25152,328
52,25980,25979,25651,25651,329
53,26476,26475,26144,26144,332
54,26976,26975,26649,26649,327
55,27476,27475,27154,27154,322
56,27974,27973,27649,27649,325
57,28474,28473,28137,28137,337
58,28974,28973,28643,28643,331
59,29474,29473,29148,29148,326
60,29974,29973,29651,29651,323
61,30474,30473,30149,30149,325
62,30974,30973,30636,30636,338
63,31470,31469,31136,31136,334
64,31968,31967,31635,31635,333
65,32468,32460,32126,32126,342
66,32967,32966,32616,32616,351
67,33467,33466,33093,33093,374
68,33967,33964,33582,33582,385
69,34466,34462,34074,34074,392
70,34963,34962,34572,34572,391
71,35462,35462,35075,35075,387
72,35961,35961,35585,35585,376
73,36459,36458,36079,36079,380
74,36956,36955,36572,36572,384
75,37455,37454,37072,37072,383
76,37954,37953,37576,37576,378
77,38453,38452,38080,38080,373
78,38950,38949,38569,38569,381
79,39449,39448,39070,39070,379
80,39947,39947,39583,39583,364
81,40447,40446,40081,40081,366
82,40946,40945,40582,40582,364
83,41444,41444,41080,41080,364
84,41944,41943,41580,41580,364
85,42443,42442,42087,42087,356
86,42942,42939,42588,42588,354
87,43439,43437,43094,43094,345
88,43938,43930,43591,43591,347
89,44437,44434,44085,44085,352
90,44937,44935,44589,44589,348
91,45436,45436,45089,45089,347
92,45935,45935,45593,45593,342
93,46435,46434,46096,46096,339
94,46930,46930,46605,46605,325
95,47430,47430,47112,47112,318
96,47930,47929,47603,47603,327
97,48430,48429,48099,48099,331
98,48927,48927,48593,48592,335
99,49427,49427,49086,49085,342
100,49927,49926,49586,49586,341
101,50427,50424,50081,50081,346
102,50926,50922,50579,50579,347
103,51419,51418,51077,51077,342
104,51919,51918,51570,51570,349
105,52419,52419,52075,52075,344
106,52919,52918,52586,52586,333
107,53419,53418,53087,53087,332
108,53919,53918,53583,53583,336
109,54419,54418,54079,54079,340
110,54918,54918,54589,54589,329
111,55418,55418,55089,55089,329
112,55917,55916,55588,55588,329
113,56417,56417,56086,56086,331
114,56917,56917,56577,56577,340
115,57417,57417,57071,57071,346
116,57917,57907,57574,57574,343
117,58417,58416,58057,58057,360
118,58917,58916,58551,58551,366
119,59417,59416,59042,59042,375
120,59917,59916,59536,59536,381
121,60417,60416,60036,60036,381
122,60917,60916,60541,60541,376
123,61416,61415,61042,61042,374
124,61916,61915,61538,61538,378
125,62415,62415,62036,62036,379
126,62915,62915,62530,62530,385
127,63415,63415,63034,63034,381
128,63915,63915,63531,63531,384
129,64415,64414,64038,64038,377
130,64914,64908,64531,64531,383
131,65413,65406,65019,65019,394
132,65913,65906,65515,65515,398
133,66413,66406,66016,66016,397
134,66912,66906,66510,66510,402
135,67412,67411,67013,67013,399
136,67911,67905,67520,67520,391
137,68411,68403,68013,68013,398
138,68911,68904,68512,68512,399
139,69412,69412,69178,69012,400
140,69911,69906,69506,69506,405
141,70411,70407,70007,70007,404
142,70907,70906,70513,70513,394
143,71407,71407,71018,71018,389
144,71907,71907,71544,71544,363
145,72407,72406,72035,72035,372
146,72907,72907,72541,72541,366
147,73407,73406,73038,73038,369
148,73907,73906,73533,73533,374
149,74406,74405,74026,74026,380
150,74906,74905,74526,74526,380
151,75403,75403,75032,75032,371
152,75902,75901,75531,75531,371
153,76402,76401,76038,76038,364
154,76902,76901,76541,76541,361
155,77402,77402,77039,77039,363
156,77902,77902,77540,77540,362
157,78398,78398,78040,78040,358
158,78898,78897,78529,78529,369
159,79396,79396,79019,79019,377
160,79898,79898,79509,79509,389
161,80397,80392,80019,80019,378
162,80898,80892,80506,80506,392
163,81397,81391,81001,81001,396
164,81893,81893,81654,81654,239
165,82393,82393,82149,82149,244
166,82893,82892,82652,82533,360
167,83393,83392,83143,83143,250
168,83893,83892,83639,83639,254
169,84393,84393,84148,84148,245
170,84892,84891,84649,84480,412
171,85392,85391,85148,85148,244
172,85892,85891,85648,85529,363
173,86362,86361,85984,85984,378
174,86886,86885,86633,86633,253
175,87386,87386,87120,87120,266
176,87883,87883,87627,87627,256
177,88383,88382,88114,88114,269
178,88883,88883,88603,88603,280
179,89383,89382,89103,89103,280
180,89883,89883,89586,89586,297
181,90378,90377,90082,90082,296
182,90877,90877,90579,90579,298
183,91376,91376,91082,91082,294
184,91876,91876,91596,91596,280
185,92376,92375,92085,92085,291
186,92876,92876,92579,92579,297
187,93376,93376,93082,93082,294
188,93875,93875,93579,93579,296
189,94375,94375,94083,94083,292
190,94874,94874,94590,94590,284
191,95374,95374,95092,95092,282
192,95873,95873,95587,95587,286
193,96373,96372,96073,96073,300
194,96873,96873,96566,96566,307
195,97373,97373,97062,97062,311
196,97873,97873,97563,97563,310
197,98372,98371,98065,98065,307
198,98872,98872,98560,98560,312
199,99366,99366,99063,99063,303
200,99866,99866,99565,99565,301
201,100365,100365,100068,100068,297
202,100865,100865,100562,100562,303
203,101291,101291,100890,100890,401
204,101824,101824,101520,101520,304
205,102324,102324,102020,102020,304
206,102824,102824,102529,102529,295
207,103324,103324,103034,103034,290
208,103824,103824,103534,103534,290
209,104324,104324,104028,104028,296
210,104824,104824,104520,104519,305
211,105321,105321,105020,105019,302
212,105821,105821,105520,105520,301
213,106321,106321,106021,106021,300
214,106821,106821,106523,106523,298
215,107320,107319,107022,107022,298
216,107820,107820,107533,107533,287
217,108320,108320,108032,108032,288
218,108820,108820,108531,108531,289
219,109316,109316,109032,109032,284
220,109816,109816,109524,109524,292
221,110316,110316,110017,110017,299
222,110816,110816,110507,110507,309
223,111316,111316,111001,111001,315
224,111816,111816,111514,111514,302
225,112316,112316,112018,112018,298
226,112816,112816,112515,112515,301
227,113316,113316,113006,113006,310
228,113816,113816,113521,113521,295
229,114316,114316,114014,114014,302
230,114816,114816,114526,114526,290
231,115316,115316,115019,115019,297
232,115816,115816,115513,115513,303
233,116240,116233,115840,115840,400
234,116730,116730,116434,116434,296
235,117227,117227,116931,116931,296
236,117727,117727,117440,117440,287
237,118226,118226,117938,117938,288
238,118726,118726,118452,118452,274
239,119222,119222,118951,118951,271
240,119717,119717,119451,119451,266
241,120217,120217,119948,119948,269
242,120717,120717,120447,120447,270
243,121217,121217,120930,120930,287
244,121717,121717,121437,121437,280
245,122217,122217,121931,121931,286
246,122717,122717,122435,122435,282
247,123217,123217,122938,122938,279
248,123717,123717,123444,123444,273
249,124217,124217,123939,123939,278
250,124717,124717,124443,124443,274
251,125213,125213,124940,124940,273
252,125710,125710,125434,125434,276
253,126210,126210,125929,125929,281
254,126710,126710,126420,126420,290
255,127210,127210,126917,126917,293
256,127710,127710,127416,127416,294
257,128207,128207,127926,127926,281
258,128705,128705,128428,128428,277
259,129203,129203,128926,128926,277
260,129703,129703,129423,129423,280
261,130203,130203,129920,129920,283
262,130703,130703,130419,130419,284
263,131152,131147,130758,130758,394
264,131657,131657,131392,131392,265
265,132157,132157,131894,131894,263
266,132657,132657,132391,132391,266
267,133157,133157,132887,132887,270
268,133656,133656,133392,133392,264
269,134156,134156,133885,133885,271
270,134653,134653,134387,134387,266
271,135153,135153,134888,134888,265
272,135653,135653,135378,135378,275
273,136153,136153,135893,135893,260
274,136653,136653,136394,136394,259
275,137152,137152,136891,136891,261
276,137651,137651,137386,137386,265
277,138147,138147,137884,137884,263
278,138647,138647,138379,138379,268
279,139145,139145,138870,138870,275
280,139645,139644,139371,139371,274
281,140144,140144,139872,139872,272
282,140645,140644,140367,140367,278
283,141144,141144,140860,140860,284
284,141645,141644,141366,141366,279
285,142145,142144,141854,141854,291
286,142637,142636,142348,142347,290
287,143137,143136,142846,142845,292
288,143636,143636,143345,143345,291
289,143910,143847,143510,143451,459
290,144233,144169,143510,143510,723
291,144233,144169,143510,143510,723
292,144577,144559,143878,143857,720
293,144867,144803,144104,144063,804
294,145202,145202,144538,144538,664
295,145699,145698,145282,145274,425
296,146198,146197,145892,145891,307
297,146697,146696,146386,146385,312
298,147191,147190,146879,146879,312
299,147691,147690,147378,147378,313
300,148190,148190,147886,147886,304
301,148190,148190,148190,148190,0
