Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,100,100,31,31,69
2,200,199,132,132,68
3,300,299,229,229,71
4,400,399,324,324,76
5,500,497,455,421,79
6,500,497,497,497,3
7,500,497,497,497,3
8,500,497,497,497,3
9,500,497,497,497,3
10,500,497,497,497,3
11,500,497,497,497,3
12,500,497,497,497,3
13,500,497,497,497,3
14,500,497,497,497,3
15,500,497,497,497,3
16,500,497,497,497,3
17,500,497,497,497,3
18,500,497,497,497,3
19,500,497,497,497,3
20,500,497,497,497,3
21,500,497,497,497,3
22,500,497,497,497,3
23,500,497,497,497,3
24,500,497,497,497,3
25,500,497,497,497,3
26,500,497,497,497,3
27,500,497,497,497,3
28,500,497,497,497,3
29,500,497,497,497,3
30,500,497,497,497,3
31,500,497,497,497,3
32,500,497,497,497,3
33,500,497,497,497,3
34,500,497,497,497,3
35,500,497,497,497,3
36,500,497,497,497,3
37,500,497,497,497,3
38,500,497,497,497,3
39,500,497,497,497,3
40,500,497,497,497,3
41,500,497,497,497,3
42,500,497,497,497,3
43,500,497,497,497,3
44,500,497,497,497,3
45,500,497,497,497,3
46,500,497,497,497,3
47,500,497,497,497,3
48,500,497,497,497,3
49,500,497,497,497,3
50,500,497,497,497,3
51,500,497,497,497,3
52,500,497,497,497,3
53,500,497,497,497,3
54,500,497,497,497,3
55,500,497,497,497,3
56,500,497,497,497,3
57,500,497,497,497,3
58,500,497,497,497,3
59,500,497,497,497,3
60,500,497,497,497,3
61,500,497,497,497,3
62,500,497,497,497,3
63,500,497,497,497,3
64,500,497,497,497,3
65,500,497,497,497,3
66,500,497,497,497,3
