Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,188,188,312
2,1000,1000,690,690,310
3,1500,1500,1191,1191,309
4,2000,2000,1684,1684,316
5,2500,2500,2181,2181,319
6,3000,3000,2671,2671,329
7,3500,3500,3165,3165,335
8,4000,4000,3677,3677,323
9,4500,4500,4179,4179,321
10,5000,5000,4675,4675,325
11,5500,5500,5178,5178,322
12,5999,5999,5686,5686,313
13,6499,6499,6190,6190,309
14,6999,6999,6677,6677,322
15,7499,7499,7177,7177,322
16,7998,7998,7673,7673,325
17,8497,8497,8170,8170,327
18,8997,8997,8664,8664,333
19,9497,9497,9171,9171,326
20,9996,9996,9663,9663,333
21,10496,10496,10166,10166,330
22,10996,10996,10667,10667,329
23,11494,11494,11165,11165,329
24,11994,11994,11660,11660,334
25,12494,12494,12162,12162,332
26,12994,12994,12666,12666,328
27,13494,13494,13163,13163,331
28,13994,13994,13657,13657,337
29,14494,14494,14165,14165,329
30,14993,14993,14664,14664,329
31,14993,14993,14993,14993,0
