lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
0,0,475b6d1d50baa5f30dd1c51d0f9d61be8e5963374cae465cbe9e75d17b7a33c3,1789722227399006000,21197,43809,1757259,6527231,7,21,
2,0,8b1dd2e6d4db8b9b9fc6713fb198961287643cc08b2c47dafa84daf253fb0511,1789722227408983000,49548,75896,2861444,19201989,284,215,
7,0,9a68672587a3643147f1c0a6b0a7ba1eb673eaedca9b6b4ad7c2a325c3a1ff20,1789722227409020000,37925,75864,2863375,12602221,30,43,
6,0,9dc342f7d5afdb4776694fccc3ad15c08f162ff7f50c4ba53b1ddc2d36793740,1789722227409022000,49590,75870,2860834,12771465,150,221,
4,0,a3d965a834ccac72276502c94353b2d06ab24db86b184e31108f0fdac6ca32d1,1789722227409032000,56524,75838,2863658,13237336,213,257,
5,0,3d66b4ef96e61a779a1907c7505168cabc5179308d54f2dfb01cdacba461b555,1789722227409063000,49488,75842,2861085,15741532,17,22,
1,0,1aaf20dd6f41cf2b77f1efad503c3fcb862ba8ca50873cc62249919474dde699,1789722227409099000,49399,76072,2863208,13130594,17,22,
3,0,0c3ce6bddd5309d69ed2320f6471b1c25c8ec206d535f5aa56dd7a6b4ca95983,1789722227409103000,37727,75795,2863542,17091066,217,146,
0,1,54c2f5f49a511074fb1c513c20d615727de8351ababdf2ad70d06ec6549d0436,1789722227469034000,43016,77918,2800976,18631933,60,127,
4,1,cb52d14a764f0a51777647e928d041276e685d9e894b03f9abfa1373a21f3be3,1789722227508293000,53985,151599,2761421,19347763,7,16,
1,1,0217fb04d66336e121e43f67bf611c12201e41543a7695fa165d5ee918b59538,1789722227544061000,194140,222887,2728438,12568046,312,120,
3,1,ca5dcdf50c1eaa4a7cd5607229a9c6f23a1dacb9a726f31ec357029921b8869f,1789722227544072000,194683,264953,2726216,19064832,10,102,
7,1,ebfa1cc74e68bc53bb67d3e89cf503f86e526a9dd5123dc53eeeeeddee2f03fd,1789722227544073000,194505,264894,2728486,11292275,34,313,
6,1,d70916109bcd20165cf148b72fcdcbb85ea242ececcafa17c75ade74dbfc01c0,1789722227544095000,194160,264841,2728271,10211086,50,368,
2,1,822d0dad6e94c756e6d28cf4fc547db682ebee893bcef1daf6bda9399fad74d8,1789722227544106000,199646,265037,2728341,15919256,1347125,6117096,
5,1,bbdaa6f7082b770b1f036cefb371448a8b1dabd6444896abccf2a4932015d6fd,1789722227544126000,194182,264801,2728133,18380953,20,286,
0,2,d727e7aba032ee0850491d3a31e1fde9b4a127257ab23b2180664a558e32b0ac,1789722227636081000,113747,149016,2634499,15699670,9,21,
4,2,879ad72558dfc62c19d6c2c166864cd263d5fb9dafef02215a6f5986b38b3cfe,1789722227684585000,86412,160341,2588621,18524141,2424791,9910257,
1,2,511e4ef9c3e530e425156f25db895aeb7200ea2672d717f581f8035e19dfdad4,1789722227825136000,75251,179774,2471102,16675109,2264949,10831441,
0,3,604d1983416597e0688aed9ef205b727f63afdd1c9e14e253679c8725acc5d49,1789722227868091000,209333,270796,2428307,18063216,2133377,13364846,
7,2,fc3f71db017c4319febb169ff5ba380c0135b60ce7d61068a4d21311afd63493,1789722227899836000,144765,193084,3357199,17147533,2177664,12553454,
3,2,b51ed74eab70e3fe0252a8e6fa71a943adbe161b6bf9776740d85f988fb9fb23,1789722227899899000,94065,153097,3354666,13603833,2217294,12127495,
2,2,4fd6be36a7ec287d12fc5c50a1f1373564520db39bc0ba6599583cfce6adbe30,1789722227899927000,94013,153031,3356907,16435967,2217057,11958290,
5,2,5bbc81f88cfb90f6e07059c84c360086f5b3feac3df74a57e36e975b233d33c1,1789722227900251000,119378,192649,3355808,17159981,2177531,12446798,
