lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
6,0,7630ce3304ff8f3d18974dbfca16d871a30d236b1d654308da68177c2496e12f,1789722561459918000,19923,41933,1521471,3474736,12,33,
0,0,a957388f874f7326ff49084ed43596692bd8214a055a76a7cf40c1d4ea07c3c6,1789722561473987000,58663,93978,2691969,7410943,432,521,
1,0,4629465dc5b3e7f68553e247a11be7ca24731402aed06f8c9bc095ee73e1d1e9,1789722561473991000,68622,126888,2692048,7563641,6,26,
7,0,2ffd22f9180f5f2cedc71b4e39082b3ec746d02684e2c0297846ba0fee871eed,1789722561474003000,58960,93935,2693986,6985625,452,475,
5,0,f016ecb1a3065feaf28acec8f9f55088f9805545e5f0376f5108c81efe26c16a,1789722561474006000,58639,94429,2681336,6453277,16,136,
4,0,debef8f9516b58d04b712f793baaeb909f8166fbb7c6f4beb905f25fe315a615,1789722561474011000,59117,93899,2691884,6078461,455,459,
3,0,8d2041eb1cad8657da3c81160c958c4db380f4242ef2156e32ab61ae087bc857,1789722561474015000,58634,93878,2694169,6676834,474,502,
2,0,94f34a5cc8506fd1160d0103645d128bbb9bfa241ddf00e2f10bad1ad54a6402,1789722561474090000,58738,94350,2691602,6777854,12,225,
6,1,6ec2d6716a2efffd1530621e77293f0e5d5172c3fdd7267a4cff99c7b3cdbdd3,1789722561536057000,26642,88877,2629838,7456180,5,20,
7,1,aa9291008736f5bde4576586caf97044961dd54e89b6ebca68170667d392f763,1789722561632194000,206289,299787,3762586,8800708,13,2,
5,1,13ffa919c1271da88ad47cc76efcbcf60b073e1fee393bf2ce03330428118866,1789722561632211000,205997,299757,3764705,9375091,22,12,
3,1,fe18499595e3492d2452358247ac380bdb37ebc28b6d4f3e545a5d1464188a72,1789722561632258000,206403,299705,3764397,8592630,23,2,
4,1,0eb4a5c38f6766ca65b567e59c94f48730ecee728efbf13fe1fbdcfb4b5bfa54,1789722561632363000,206092,299604,3743935,9030552,22,2,
0,1,c44516a6ea0ec2df2636b05116f4605c74d13d5080ed59e3b4c223d1eb1d1b29,1789722561632508000,205531,250593,3762120,9465970,33,93,
2,1,4e90806d12cc1010099406b460db847ac0d806b22ed85d4d9dbcde543c4c1b47,1789722561632933000,205472,299031,3763568,7013572,21,3,
6,2,359ca65c14dc2ce71d2dfa9cfc616f3cefeb533c718692b12db95ec023cb4919,1789722561670285000,213482,261657,3725245,7665931,20,53,
1,1,4b83abec5565fdc4ae6369d0ff48dac271adc57f4b7c4ca4d666f3bb66563d5f,1789722561670301000,167931,261681,3725770,6754580,1049410,3002674,
6,3,2d9a71b7fe047c6c869a88194490abed9ffa1207cc91602da937b7a36b50cd34,1789722561997341000,192380,256153,3397582,9396555,1912202,5673791,
0,2,b1cc6ffc765093036f1bb22f71590699612b32579439fc6e28ab0195349dcd6e,1789722561997474000,91279,135493,3399749,7102216,2022379,5419508,
2,2,f438bab0d0bf939de0a7de780e707dee6c17f0af8a9306025378250f7f6f8116,1789722562114449000,206347,291426,3282940,8291848,2970427,6586367,
1,2,4a0a5f73eb5c83766f2b206c624a25d0218e5e76eef656c34c5bd873d3054c6d,1789722562114497000,88121,250422,3281686,7967294,1800980,5887029,
4,2,71ea9bc0791ba60328b05a332fd87e36486168a067558d2e06c059c78fbf08eb,1789722562114769000,87772,250183,3280519,7765007,1801091,6094681,
7,2,860e327fa566bd63f58fdc43baf3e4a0370acc4ba48f00faf5693c3d2143908f,1789722562114794000,87675,155153,3280331,8388324,1895952,5880907,
3,2,3ff6127e38bfb74b375de5d73ef1bb6ace6dd6a826cc0abfd22d3e9ca55a6365,1789722562115229000,103505,249750,3280429,7563017,1803014,6281530,
5,2,7d128472cb1b5a042d246cf4593f3986ae3ed4a4a8fbed426fdb2f4e0279c06a,1789722562115308000,103417,249626,4305069,8816467,1801028,6059951,
0,3,8907a80d7315d4d0596eeef40432fc1d4f8efcc15c1db54a937e4cac55ee3a1f,1789722562174195000,140235,225728,3202235,7705497,1768267,6485017,
6,4,10eb59d467cf936071229d380b1c3589f422dd330bd96201e4093e7bf3c4fd1e,1789722562400140000,132093,193792,3000163,8631996,2800700,6505761,
7,3,134bda4f73d1604f6c69701d9a57af2f807f92c08566ffd4ae8f5077d0e539b8,1789722562406402000,125935,153526,2991180,8600740,2816505,6477710,
4,3,114c78cd616e1ab81d9261d2b3e6d84dceaddf626bf1746e327ff61f66cbcc04,1789722562454104000,120794,174838,2946660,8516210,2766187,7250753,
0,4,57e144b55c7baa49d32ac6e5d521fa03d1c843d3f3be9b1b95d4b17ed04ecef7,1789722562454172000,134541,165804,2946251,7728397,2774809,6716246,
1,3,7663d08cef5183889341d0f63f4efaf3939c2973a2682555773e47a66b988746,1789722562454200000,120755,174763,3966570,7426052,2766328,7250816,
5,3,361730b4f756b12e364facf6c78c68be4530bdb7960f28a56526806e27bced21,1789722562454309000,120740,174662,3967982,9147747,2766563,7251280,
3,3,d21d003a6ef18e87439b51c51a6710bf56fb1cc47eb9451df1ef637f1ef98c27,1789722562454463000,120488,174503,3966523,8944685,2766695,7452827,
2,3,240f134449c52cafdedcdcf242452b5e4405d3ae1d6e7ca12aabb79524df92a1,1789722562492162000,86527,136775,2908490,8801157,2765990,7049313,
7,4,e633ccca1a37262d95f78f0941598796b828aa4f64f0ea7b7177a6a497484e6e,1789722562598124000,89561,131801,3823813,9511200,2666151,7452645,
6,5,c63dabbd63cfa5daeda5cf788bd515b1882d75e831b479ab21350f080e62582e,1789722562657504000,205997,254466,3764991,8541192,2484690,7494330,
2,4,3772ee2882b58c582638e7c5ed6f3b4a358fa9ca91909203adde1fdb75032e0d,1789722562687606000,206501,340275,4793909,8705266,2369041,7405027,
0,5,821dbc85405d93e4205c30cec0afa9269a7d59991d1b7d1b55ba7df9f98f5c8f,1789722562687633000,115192,164318,3733506,7537999,2544236,7372945,
1,4,f9f7e67ebe3fcf65b016d90d26db4a14df8a993e22b9cce961a6e642e6eba0c6,1789722562711132000,182876,316764,3710663,7810451,2369331,7475227,
4,4,76535bb793752d48e3d404b106ffb3917f9d34ac244fdac308e74c3bbbc16d40,1789722562711144000,182903,316806,3710151,8236509,2372356,7903829,
3,4,e50b8083b96eff6cb0743bb1e75c5111c4be85b8a964918f93058dc0001c79f3,1789722562711151000,182708,316785,3710264,9300817,2369457,7493647,
5,4,cd6759a5700e090ec91918678c2f654b096600eb76b734de7f946356b57154f6,1789722562711180000,182853,316768,3710859,9298323,2369636,7634974,
7,5,f9cbbbf316ceef695dc19542738b1fbf61ee5abeee6dcacfbfc4059ab542ef00,1789722562753103000,85285,135819,3710109,9248883,2507586,7336710,
0,6,282af8e51d977cc1661b211ab6e7e904529bf4d9cea6268d78006faf0c12d8c3,1789722562912437000,355241,444776,3548172,8198277,3063170,7649932,
7,6,5d141d41c9134abaceac3040f3fe46b84bf61f4003ae90d1536826af9e983e43,1789722562937390000,288365,326237,3484122,8033456,2137029,7706690,
6,6,44435461911a298ecc29a8d32c73b53a6193667f22663b4927cc6457e40ac4df,1789722562978180000,187528,227708,4458444,8615611,2194537,7741767,
1,5,f17d7dfbf55e7956d0d0c3623b5314d5f29ddef2de28ca83c1989e8530f91923,1789722563064060000,195612,211806,4372399,8841387,2124901,7694980,
4,5,0c0690216d38c2dfb92a278a4428aa002511a9be53e2e6a2aac62a13e521b836,1789722563102347000,181379,316549,3360477,8697751,3002094,7613244,
2,5,a31cae4d25c19ec12d7ade06e40428bd36ec6c64f1767fbc233dd6b3a0f8b127,1789722563102450000,199019,447442,4366592,8096930,2871526,7648808,
3,5,8821fc1998296f538dc4dcdfacf0a5b8bb0a294d0f96fd38007d84ebe87a8db7,1789722563102552000,198868,447320,4366284,9352932,2871429,7560843,
5,5,e890b0e676cf957721d5c54e74e687215d41a71ff9573dcf38d406f13bccf56a,1789722563102599000,181055,316296,4365986,8623180,3001880,7588417,
6,7,667109db522cf7a22e7e78b82bf93c1056e2df4881a5c1f2d00603abcba0cd87,1789722563239280000,118357,310616,4228877,8902855,2871618,7649485,
7,7,edc8ad0c7bd0b063623dc6378dfd8916e2aec66be2024c94385bcfb916250305,1789722563357438000,298355,460463,4112098,8442767,2604143,7574977,
1,6,a37cf9613f4b1b9b30f9495b353acf75bd063014b9f774b1458ac7d8ffd5f95d,1789722563357753000,85035,120142,4110933,8242957,2943248,7620595,
0,7,b8a8dd0d9a19b6bb9b55a7b41e0f254f806da7af5f5fb5c27f96365c7c653401,1789722563428528000,226855,316370,4040707,7865384,2676901,7548427,
1,7,6f3f752fe8b4e1009de7cbf98f9304f598462be9179fa03816b7a594fab1441a,1789722563525099000,130371,292785,3943224,8623540,2604059,7476028,
5,6,cdae216e1231fee0c97b74489504d98322118149982a6da3137271897efe6452,1789722563586364000,140194,380799,3895597,8629629,2455338,7431991,
