lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
3,0,af41d384178ea109283a06f0b063038ad6a8d30225dbabd3078769d1e86170c2,1789722459996947000,20720,49989,1615365,2379244,11,50,
0,0,75cdb51ff2317ae609a7994f7c6f4f46241848f9c283b5cbc19504c3bb8e657b,1789722460006978000,33924,138827,3060495,4086826,18,360,
1,0,d7d39477054e8d033276105d66ef93097fac2a158ba071c8f999877410806236,1789722460006979000,48447,138884,3060740,5112981,240,220,
5,0,80bcf95dae5f5de68f72db684aa90ade1b70d25feb689d865fec2d992fe05cef,1789722460007021000,33922,138762,3017243,4012539,229,468,
6,0,0d77b56ce33707bc891c797fbaf4e1ad64d3631acc49f0ceed6361f1132baf0a,1789722460007052000,48375,139217,3017689,6015538,6,62,
2,0,939c8febcb65948f3a8b836837bb1e3781436948fc7640555694e8eddf9116a5,1789722460007089000,44392,138766,3091183,4204794,348,303,
7,0,10ad62fdf03ff3d0292fbf7505ba33b70091c5d7f7458c91386c84dba271557a,1789722460007093000,33804,71768,3060361,6015450,11,22,
4,0,84c5b2bfd4115c4538167f4ade1cdd46ed773fc5d69a38013a05c1efd25e4a58,1789722460007153000,33901,138627,3060593,4267063,9,455,
3,1,38b18bb4c99e3575c78fb6195480b6e5c83b10929fca4494d5ec5fec6eec134e,1789722460146192000,40101,109634,2921314,4999071,12,30,
7,1,e30c832f8dfddfc809e8c7135c57d37433bcea626793c81c52d66131d3f1b0bb,1789722460186261000,51761,163567,2881190,4845843,13,20,
5,1,de6c9f0d3e02205048facae0516ca174ffb4a3cfa8b814fef884190008ae0511,1789722460214101000,150519,222867,4203390,7157999,60,105,
0,1,ce331e0819ad0db942046f18b2839a88f49f88298e3acdb3bca07aeb0ff4e07e,1789722460214104000,150499,222835,4203902,7925258,10,13,
1,1,0bf23a589f8d5ee30397e3d1c92f579684d4ef39b02ed4e7010a3e258b2e7a49,1789722460214115000,150468,222804,4205427,7897041,34,31,
4,1,b826df6fbe2e0fc30d9044454606c7fbf2068acdbec9049d3ee2dae8cb3c9290,1789722460214132000,126719,182935,2853208,4060250,22,20,
2,1,dd6661fa7a66ff6d4f6036ee2da93c7cd92e91ff8e1a649bc487a9d8578611bf,1789722460214151000,126754,182913,2810493,4284490,31,3,
6,1,da516f22fd543f45a3dc70a39a97732087b708a8309c621e2cf3698ee14b7724,1789722460214198000,150330,222712,4206876,7157873,23,44,
3,2,1a5a148e20c1658a6b7aa5ee3280f026217367ead696975ded97e1c4ac84527c,1789722460397276000,200397,345691,4023422,5625433,869365,1633221,
7,2,37931646837077d2a6e16e271c668ca29e20ce4d27941eeea96463e71657b697,1789722460437106000,220632,343710,3981437,6028989,2243445,3238741,
2,2,a7e5f7fb752144ce50925f61cb0be06d632b84610f54ecab13c64a0bfc882e2d,1789722460520130000,137774,260724,3899571,7418314,2243884,3431027,
4,2,7bcc3bc985058b934e9a80336a87ccd1b47942efd6318013d35f55619fafe9df,1789722460520276000,137499,260561,3898763,6752445,2243806,3312965,
0,2,5d705103b9be6f850d6fc380a5cd5b72f0e3f82867181bb4d106fd1dfb3c8a94,1789722460539195000,204383,289659,3880163,6446952,2238595,3445526,
6,2,fbb8bc4e36098a1128a61583bdb8bebed53f470445905bcb711356b9b73f9194,1789722460539210000,204035,290066,3879995,7399345,2238176,3669365,
1,2,49fa99a92a13a87a7270830c3e559dfb96cdd214fb3698b4b470a1a61cd920fa,1789722460539270000,203968,289561,3877171,6237870,2238508,3445382,
5,2,c8d16065406d70049bf7d46ef352fbe605bb19d2a67908ab0f8e111dd9653524,1789722460539282000,204126,290066,3878978,6833534,2238122,4202754,
3,3,0f09b0f34bb2108c86b979255a7810529016faab1f08ba8bf196abbc17036d93,1789722460829558000,73921,101553,3590791,7281609,2136393,4188844,
