lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
4,0,39453bdb821b3583ee2a07ef4205c231c0a2580a9fb0f31a9b662c192f5e220f,1789722260792699000,24935,52799,1716690,4015532,8,15,
2,0,aeadeb6ce1168c05fd36def6f85659fea0a3e39bac719cd7cd85eed05567287e,1789722260810679000,46095,79914,2963972,9066004,120,236,
7,0,f89ca118d34a597f9149c88b63ce602e250b104ebdf18f5323b8ae45d4602e74,1789722260810689000,46010,79973,2964450,9497573,98,226,
1,0,a6e6d3bb84fcbb585f0ce2002b1b56a657b8e674603a20f6a3014fe8f4419c6c,1789722260810691000,49685,79916,2964819,8958419,10,244,
3,0,a62da1618fa2d3562f766690ad6ad14639ff3f986ef979f54bc167a7e46cdfc6,1789722260810705000,49730,80228,2963353,8857974,21,22051,
6,0,17fd23f1f77d1174789fa4d4a2c9aaad59866207695ea375705cb8b05a8759ee,1789722260810729000,49570,79903,3001012,7481094,21,363,
5,0,1963971ccdb3f2800a8c0e0d7774b5df3557c0d1f98ee890e0afaec715dc4985,1789722260810740000,45649,79977,3001232,7568159,44,264,
0,0,d7661b47ccbcf466c32a32155ecbc6c94ff3f385e49e9f688354c71ca7801f09,1789722260810756000,49563,79840,3000734,8592739,216,240,
4,1,06e9c894f9a82fded873fe5d94b7e6dbfe08fb6ace67708da01b7f93f951b3dc,1789722260869819000,43956,74713,2905432,10357302,9,20,
7,1,dd47d84778bed19ee3691fcbd9ea796baa1b6d191e7fa31c53db0f7eeff4dd86,1789722260948749000,46007,89910,2863106,9906899,5,29,
5,1,96c7a2a387cce1b96a2298ca2489146c17ce259e4264c88a1b9012ca232a6a78,1789722260948781000,199628,266185,4115198,8268543,1294425,3593267,
6,1,1f8bdb60c56d677b80972a1616a7b0b6053c1434d95503f8ca753b0a7c5e3901,1789722260948823000,192650,265958,2825529,9359109,20,159,
3,1,d59c92914ea8a42174eb0b6dacdb2abd61379c5c15bf8c6345b1af9c8ba0e11b,1789722260948832000,192575,265861,2826540,9458950,76,10,
0,1,c764199a86bf5b51480f47d40393e1d3c3b6e257d31c1fa37852eff713d39c44,1789722260948896000,167563,207694,2825278,9358582,38,115,
1,1,0606a67c3440edb63264a95aa1ed35b8c4711696aa6d42892525b2a07f58cc11,1789722260948910000,199489,265906,2862735,10177956,44,153,
