lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
7,0,4ddf806fc5ef0940ab2049fa25c5420a7dfdb84f05b9789b2670546bf70962a9,1789722595810943000,31152,51824,1611189,3151857,16,45,
0,0,261b2979dd165612bdd8c08f339248501753c40f510f711b54d6f81c182f978f,1789722595828897000,63162,133033,2574428,4781159,48,12921,
5,0,2a5b4da15e17fc39a1fe17c679077781bcd2145b40684e2e691223056e6ab3a3,1789722595828898000,63258,146025,2570548,4781277,29,138,
6,0,dc152f73853fa920b4b6d4524383a792f46058ed6f90a2a6c592f5401e1df814,1789722595828905000,62717,132854,2570948,4625953,78,230,
3,0,c042d8ca86645579a79e593dcf924ccbd84b75dc60370a43a62c3a95713f7736,1789722595828922000,62481,132870,2571389,4524818,166,13093,
2,0,9816bcd0f47a5418a1df92f82e150a4a59eda1b0e08f407d23c3350202e68391,1789722595828943000,62928,132859,2570583,4109971,16,13128,
1,0,e87f945dcb69ed039b19f029f61b6d52ca215555215db644159e299634e952b4,1789722595828946000,62508,132825,2570771,4781128,83,13113,
4,0,190b83650f70ae2c6c09ad9a9ea7008d642ad12edfcb0de11b0317326cf744c0,1789722595828946000,63016,132836,2574265,5404786,148,13133,
7,1,2a13fe1296ffaae48c8a19e2f111c88818a6bb81bb0e57ef6ada020ad183b9fe,1789722595897985000,31509,57756,2501322,5159100,7,30,
7,2,e086694cbffbb105e22e92047f451abb6723ce498a1bf42d80e66be7dbd1ff93,1789722595997185000,234754,372623,3764408,7013395,15,42,
6,1,927d4d7bfbb32dc88587926c8f5860e8cf5aafd2c9736de4e5580caa2d6bd664,1789722596039394000,65439,107411,2359823,3977963,22,49,
3,1,c1a3a0f1ea26afafb58c2d19388b4b03a990b3e40d7b214d026325377d4d9d45,1789722596039405000,261182,347477,3718024,6999736,504,471,
0,1,6d62d203f8bc170e3c93991f67fa99eab6e31064ae60d51f18006b3b234632dd,1789722596039412000,199547,235632,2360566,3360528,17,26,
4,1,4c044cfe54150b7d7583a66a98198bc67b8130793c36d7fadff1a47b743f9abf,1789722596039423000,261191,347589,2360664,3111393,395,372,
2,1,d9aa661bcca89f542667adfbd79c98f16cb6fbacae22a042393dff62370ea168,1789722596039546000,199492,273369,3721111,7091254,9,26,
1,1,b6ff0754ab27d6510684d0d19f194b21437968dae6a881ede1a9a5ae581ca28e,1789722596039712000,260902,347687,3718238,6905831,1034736,2575404,
5,1,bb87be3c80f3d219d663b76640f8c579cdf2797d4d1b430142943e5d6338a231,1789722596039885000,260758,346996,3719889,6809524,507,101,
6,2,5d01ca97a799d55228633e172b14b2e8d4abac0f1cf604c806f7939f65353d59,1789722596168028000,122635,246790,3590510,6396706,1984400,2736000,
0,2,4a54dd88ebd68819cbed29ebf5c8197f7e0992023c6df6fae4b0860070c7442b,1789722596387356000,107256,173440,3373847,5686611,1838515,2839147,
2,2,52764ea43fcd45de1e294983c658939e0ebf90db6f3b8de09c0d9941de01bfbb,1789722596465281000,129481,208548,3294621,5714810,1725713,3343531,
1,2,60541a295874f87aa05f5511051c4c8aef6514cd76232294d39eeb084db56658,1789722596507131000,128582,166714,3254656,6114519,1726136,3936216,
4,2,7d1c3d7a43dff9e4bf5b961573cefdde4935e81cbc2a56d9bc7c2e45c3db32d2,1789722596507228000,87522,166615,3252825,6491076,1726015,3781020,
3,2,8753c0b806bed99e23ad987b8b240817e33ca3eedb6aff4c91b954b615bf25f8,1789722596507267000,106354,166569,3254773,6491041,1725885,3679909,
7,3,e02741ac3d979b6a5f2f51999809f30f9c8a752f6e4260b7960e7fb34c3c1d46,1789722596527073000,197250,299924,3232221,6447913,1573319,3783183,
5,2,b4c11d19a3a3c3fcfd0d109b2a4bf6c6d1a636c7b5801be04fdc64a94507c9e7,1789722596530036000,105870,143780,3228197,5804242,1725635,3265105,
6,3,e615b80771d8c521a7adf4d3d418257d36c4a0f4236053b2caf8c1c2d8b999df,1789722596594851000,129354,195950,3164653,6480536,1609292,3819277,
0,3,5e2b3e3afb0bef663483fed237233ea5c70a1b855dff59833c7c1e74d4858c06,1789722596647161000,165963,216779,3110634,5427047,1539277,4193151,
5,3,a3caf1348efd47cb4f3e8a8a432811cdf84f1806e2ea3e7b10ce5a937da0ef85,1789722596705133000,122428,208675,3053257,5813683,1489523,4319930,
3,3,30d3591c9e5f198d3c23c8c8cf55958b374667353da7be009e2ea7da71129b96,1789722596745998000,246626,318420,4506916,7411041,2693659,5010665,
4,3,22af6514980c0f1afd35364bdec08269ac6bf4f826f244a99251ec137b5476f7,1789722596746000000,156906,184836,3016794,5329083,2827119,5143750,
1,3,1c34c0859780319e1f1a8b9c490d56f73ae9de45b4bc196e7bb9baa2733fcca7,1789722596746016000,87534,167803,3016417,5328570,2843615,5160151,
2,3,e883900d508b5f7f257479a3874a89d8245e56530873a01af4600d5f68e2a568,1789722596746030000,87640,167809,3012047,6329499,2843957,5160371,
6,4,edb768aa54b7d0061868ac16dd1cdb0f4d6f66698a4dd53530227170dd648718,1789722596864319000,321930,413483,4388117,6837795,2481493,5286936,
7,4,99261da6bbd0df0889186bee2ef3225e99c8e0e3f48c6ab6ae38073a9d09a323,1789722596914003000,150501,285791,4348302,6367092,2558749,5135172,
0,4,c5b87e190fa4443cd0db2437b0fb20e399eeb1f5b5b4ce27652090b4aa3412c4,1789722596931008000,75427,170827,4331075,6651222,2656400,5078259,
1,4,892c87462259a98eb6a7228801947e89270913b2a0b5627cac4510e1935195ec,1789722596948137000,116478,251677,4303372,6119497,2558856,5319005,
5,4,1b0fb2e77680a02dd08619e40415a28088a4fb6966ff7b343b4d590a6ade3257,1789722596948201000,238052,329602,4304477,7274549,2481702,5343849,
2,4,f6da068479368204bcbf41fd691dd6f16d29cfcd97f1809fdbeb11151c5d49e7,1789722596948402000,115955,251383,2810268,5386563,2558606,5134497,
4,4,45eccfea4a39cc6afbe51b765036ce967560a49dd91b1a05c0936f3523182b39,1789722596992707000,193564,285126,4269681,7227988,2481947,5571582,
3,4,849c907b07f4e452ba905453a22c201600017c78ae46e094d9a4d4838fffbd02,1789722597186227000,347461,406841,4076056,5893979,2166988,5381922,
0,5,29238fcb0ab88aed443471b31b4e2af6793fa19832a866f4c275a1f7acae17e5,1789722597277999000,130798,154830,3984252,6879047,2327079,5512722,
1,5,ee7059609131990dcd83bc1f57f19a93bac80db88f6ee44c9bd6c92ea81020e3,1789722597339155000,272227,374680,3912188,5992332,2047767,5296754,
2,5,518be6e7312619100e46593706af8d43202b8209d4b026c4a51262347967e033,1789722597339161000,272080,390810,5083164,7172320,2032466,5345421,
7,5,3c164144bc0afc31bd17c8dc309fe3c03dacaef9c7608b0c488727ad78cb1280,1789722597339304000,272343,390720,3922594,6909305,2032774,5345509,
4,5,5c59cf92ee56d72f91418d5b93a3fbba0325d5756743c5a3ca006e5dc6ac8f68,1789722597383024000,228333,330801,5053385,7228929,2047384,5284489,
5,5,46777edc4df6af27fb52df60323330beb60df0c054ea4d3d096a6acd3e30fb9c,1789722597383040000,228312,346844,3879171,7013519,2031910,5309265,
6,5,65b9b8b4113f505addcf4bd5a163eb350a7e7787f317474e38b1137abc50e84f,1789722597383076000,228436,346849,5038752,7329205,2032121,5337712,
0,6,ca3ad3b0496ebe9a3ccc390cccda65e3964900ea33dfe52ff9cff00e89ea0ed2,1789722597481067000,77788,129730,3781493,6101173,2149868,5387514,
3,5,447767b4b3c5631d4c3ce2a440cad4178f3eb0933e2dd8929c6f79822d76289c,1789722597637998000,63507,136114,3624525,6616198,3477232,5306096,
0,7,558fbb888caf01bd1596716f0083cce4bed3fe587c8b40f6062c181c84669983,1789722597658998000,199523,309835,4777057,6852474,3282681,5161977,
7,6,74b97a568e27b65a588f6aa775be0224529e618c80e47daacd823da69ae00cf2,1789722597811068000,103566,255760,4625287,6967234,3185856,5264663,
5,6,f5a452a1793e0870da1c7fe75ebf1fb4c52b6be46de119d06583af98bd811e13,1789722597811139000,103469,255705,4625223,6087480,3186077,5515392,
2,6,4e009a9f64396ffda0229dcc579b93682250672f4f8f5a023ebf327a5ed16f03,1789722597811233000,103400,255618,4660082,7068186,3195051,5515391,
1,6,7353bf5f36812adbe9da1612ea31b754d5865fbee11dd5e2e32ea39a9e1bc7a0,1789722597811255000,147900,255568,4624892,6966967,3185620,5214281,
6,6,2ab81586d5796410ce0af07bcd6f779ad9cc98fbf4435208b9257d9c7c87cd45,1789722597811311000,103341,255568,4659916,6900907,3195374,6090167,
4,6,7ace15c2bae48cdd6bcb560348c116f2e2325b7346347a536004b67dccded0e7,1789722597811415000,147572,255455,4609734,7068176,3195218,5635251,
3,6,89b5a2edca4c46733fcbbf4b0e8bbc9a23f0759fd1e146aaede8354aa55a65fa,1789722597858554000,100500,208325,4577495,7150041,3195335,5831741,
0,8,f87759ab554c3291c158a49fd56120f048e904cba2c10cafc8ffceeb1c00f187,1789722598094266000,317368,360635,4342207,6126929,2807626,5765802,
1,7,05975a8099b0c0f115642625f637b9b54584ccfdfd276ac719139e0ae38404a2,1789722598108557000,135512,170379,4314586,6049137,2983353,5878115,
7,7,6e6ff4ea84358ae05680987d237f22411d3719f3119b01fc4c92e6ee3c153c65,1789722598137039000,222355,335882,4299171,6723843,3948912,5757258,
6,7,f5300efb44b43596ae322ffb4471ecd758524b56b35a53b4f4feea10d34e2302,1789722598137058000,222610,335812,4299357,6093121,2789695,5749887,
4,7,2fa7dcd76ae3c7d216f62118c8bc0768b30bec987908cd4b456ec42a6107eb2f,1789722598137073000,139857,221763,5660701,6021149,2903559,5798858,
3,7,30f162095f717a2112cd578aa39a217667c7d2fc8526a202f5abee60f7fe3429,1789722598137074000,205061,335844,5662328,6093122,3948233,5748277,
2,7,55b94a354d2b4af6c9b74869de3e5b1780ca9a4232fc4e3c3b095965ff8ed139,1789722598137086000,139786,221740,4299047,6374570,2903487,5799396,
5,7,298ff33da57af937706a51ca3463787a37a4e71dadf0504d6c7a5f41750d8be4,1789722598137093000,222320,335831,5660183,6093766,3949406,5757272,
1,8,ca821345e9e5b751f008dd3da6e1fada2936138a139b6f943679e9e1f1c3b2d2,1789722598414142000,223478,284395,4057567,6465354,3737674,5702257,
4,8,f12816b5a4ab27be041ca56048bc47ecf313e173f4424ae1a178da4850990787,1789722598487384000,121627,149431,5309905,7425135,3786330,5594046,
2,8,5bd9057cc02cc9a74a21fe55b877bb126f5c149d4c531e3dfa04adf228328e2c,1789722598487687000,121376,190128,5310253,6573986,3758246,5571303,
3,8,69a25484f2a8e2fd234d5d42dee551cd33ca55f52e10efab272ba4a80ed4abf1,1789722598530327000,78806,147499,5266871,6531345,3758310,5576376,
5,8,718c103a2630a5c1656a3cf53c268231f96a6beef14474eb168cd0188635c979,1789722598552118000,100513,146506,5246288,6653522,3737748,5812865,
7,8,c5ed26d80f64dac3fee38a39c4ecd04893439b56736964b3f16121b84d98923f,1789722598552131000,85678,146444,3887450,6176009,3737786,5812904,
6,8,fb23d54fd9bd9bb89ad17676b8a665067e0a55bd5c0b558e02819b1a2618bc2b,1789722598552149000,85456,146351,3887265,5848646,3737651,5698067,
0,9,1a724fbcc048adf323458e178fbd280c712d7a0ddcb6a1363c02adff2796816f,1789722598595004000,48581,76753,3844270,5654114,3764296,5576859,
0,10,77ec996b79a2a1148562b8ce699d7e9c7685da9c1294b206da8d9ad383793288,1789722598697004000,400494,523818,5202100,6492012,3250491,5557485,
4,9,90a97dfccb885d289e83ad250254b2d2afd53a901d8e21f908a30657bb967c66,1789722598698812000,74968,161069,5100865,6577882,3576537,5651778,
2,9,b22d704abf2c1119276624d678d1f452f77499640c1406de9435b224e3fab1d3,1789722598773303000,216389,323695,5127379,6708473,3343588,5631143,
7,9,09c85a8881bdc523e9313db36fe1025c0d355d097e90db8a1ed0cd25d608f1ca,1789722598818196000,116778,170636,3654026,5794241,3447596,5623130,
3,9,fa949e0b7e30572550e6789d10294d2370de916804954f0f6911e0bea754537c,1789722598819005000,137528,186833,4978263,7078881,3430641,5606600,
1,9,0f539ee0214655f37fcbb7befab58f013a5cd3324befabd19a182780f7f2e757,1789722598819338000,137169,186509,3651975,5893418,3433430,5706379,
5,9,c6fd428aa09d1715dca2f841bfbe9589e1e893494e5e5aa9334b653016fec836,1789722598819526000,137292,186370,5080081,6771454,3433687,5706861,
6,9,8ba7dac6ad2afcfc504c625bb025d07536a3f891cc8ec7bfdd9097a4fc0302a4,1789722598819682000,136834,186183,3620904,6355920,3433550,5706425,
4,10,0ed9dca2ebd5c70c12be8467ffd4740caac47ea2c136a81af9d47b47f4a43bac,1789722598946064000,151268,219795,4953294,6736464,3305375,5612370,
7,10,11e4028dbace8b75901da438443779efd5dd4d0f19e0c57ce59a62f2498d2467,1789722599097246000,481068,639614,4722973,6686106,4062822,5452159,
3,10,e2813f8806ff3dfa0615afe806a1ebf9640f1918cf2ab504c40b8a4ad06582f7,1789722599160050000,189048,288896,4657020,6752318,4348337,5612730,
6,10,462059ed67e2fede5dabbc2bb1140428876a6ed541bd6096edcea20ed6760d50,1789722599160056000,121568,188154,4656456,6410511,4448994,5531389,
1,10,95643f6f00c4af0c92d8fa84d931b7a20265d9e19b122128527a38db252ebc5c,1789722599160075000,121532,187953,4740338,6140804,3123686,5531401,
5,10,1fd8893a4e23844c6ed485b64e8544316791ad2c666bfabb2b124b41f62cd3c2,1789722599160112000,121502,187996,4740029,6752460,3124120,5531394,
2,10,c1e70550f9fa4be48bb6fd77b1d9a0b793337c58083e22df77ee176e4e7aecff,1789722599221095000,60528,126916,4678780,6389574,3123314,5512878,
4,11,b745421404ab9d804335d07e09d6d0a7ab7489abf7f21c13e045f37968dddad5,1789722599305447000,74354,136426,4510779,6217074,4355398,5566732,
0,11,cdf587261542eaa0de4e56f9f12122c855577de14e8d32f482e6eb7089e33694,1789722599348215000,126749,271656,4469783,6242575,4177424,5441807,
5,11,0183959b27f2ba5da9beaf9522559e633775b1fe32aed7219238c4d7a38dae59,1789722599449264000,155405,231608,4370675,6780432,4118541,5496107,
2,11,6a0afd7e5f52f87b597b42a5420d1914fc0860e22995f6f1d4716cd6d29dc552,1789722599449317000,128976,231545,4369647,5727662,4117550,5495703,
1,11,5d5d119469972b713674e8d57b9182ce48e93d2d29bba50e0ad4ac0357d65ddd,1789722599449562000,103075,231296,4368683,5726534,4116924,5494749,
6,11,32f899de7da295e2c6e87a6e7e831edd137f722ca7a2de77e2ccd2781d862dfc,1789722599449699000,103039,231161,4368831,5726866,4117086,5495236,
4,12,4522ffd26fe54a312587d5de97719cf5dae3f6ea3b6fb37fca8be1fc7c0222f2,1789722599549248000,338837,371572,4277277,5871215,3895408,5284826,
3,11,a0c1e6db7465b1205f504b6eebe511498c3137731ee4cf019ffc259632f33277,1789722599578148000,387417,419781,4249448,5824250,3819144,5302953,
0,12,7721baee18ae5cbebe699bea41c86b2384f8329f3d40c005bc773e60a0d1cfb3,1789722599778265000,171455,238623,4050467,5642691,3801359,5403576,
